ID,Alive,Protected
@mmrdesu,True,False
@morimoriponn,True,True
@motherhunterYHQ,True,False
@n0justearth,True,False
@nanfangrenlixin,False,False
@nekobnq,False,False
@nijigenshaco30,False,False
@no54044750,True,False
@nobusaikouda_,True,False
@nuuniiiiiiiiii,False,False
@odx886658,True,False
@odx886659,True,True
@ofofichd,True,False
@oh1dR0kkxxM5fdC,True,False
@omo_ust,True,False
@oyayikasaS,True,False
@pIaygamenow,True,False
@padukajumadi,True,False
@pcb1216049,True,False
@pcb1224052,True,False
@pcb1225054,False,False
@pcb1226055,False,False
@pony6324,True,False
@poterjinju,False,False
@pp7390,True,False
@proverbmedi,True,False
@pumpkin_10406,True,False
@qnm3k1AH0Ox36nV,True,False
@quin_dongge,False,False
@quinpersona,False,False
@rambler_pekora,True,False
@reaIRFS_Chinese,False,False
@realCocogachi,True,False
@realRFS_Chinese,True,False
@realTrumpWinnie,True,False
@realkiryucoco,True,False
@renminfuhao,False,False
@rochesterweign1,True,False
@roger52892473,True,False
@roghes3,True,False
@rorsha258,True,False
@rrr_kun3375,True,False
@rushia5201,True,False
@ryoyaojp,True,False
@samantha_hink,False,False
@satouaisaka,False,False
@saviorholop2,False,False
@saya616lowiro,True,False
@sczfsy,True,False
@senbuuSakura,True,False
@serov_i,False,False
@sgvn7pVLoPuC8Mc,True,False
@shadow_medi,True,False
@shashatuitui,True,False
@shashayayo,False,False
@shenqimaotou,False,False
@shuiyaqianbei2,True,False
@sibaidama48,False,False
@sodneun,False,False
@sskskshnyk,True,False
@st_urav,False,False
@sugekisyu,False,False
@sunxiaotrump227,False,False
@tarufan6,True,False
@tbcvk0,True,False
@terminal_medi,False,False
@thanyousir,True,False
@thoughtcontroua,True,False
@toad_8848,True,False
@tp6u04cl6wnz,True,False
@tskk684733091,True,False
@tsuyurikumin1,True,False
@tuiteleazhe,False,False
@uDktCeq0hDDhx9t,True,False
@udbveeee,True,False
@united_pooh_,False,False
@usadanucgen3,False,False
@usadanukgen8,False,False
@usadanullgen8,False,False
@ver2097507293,True,False
@vvvv_frog,True,False
@vvvv_frog_baby,True,False
@vvvv_frog_evlf,True,False
